tile	width_pt	budget_pt	status	delta_vs_en_pt
popover/App Store [button:small]	73.0	320.0	ok	+0.0
popover/App Store [tag:caption2]	49.2	320.0	ok	+0.0
popover/Checking [tag:caption2]	50.1	320.0	ok	+3.9
popover/Extracting [tag:caption2]	59.5	320.0	ok	+9.0
popover/Failed [tag:caption2]	40.6	320.0	ok	+11.4
popover/Ignored (row status) [tag:caption2]	72.1	320.0	ok	+34.2
popover/Install [button:small]	82.0	320.0	ok	+30.0
popover/Installed [tag:caption2]	65.7	320.0	ok	+23.5
popover/Installing [tag:caption2]	52.7	320.0	ok	+7.6
popover/Open [button:small]	67.0	320.0	ok	+18.0
popover/Queued [tag:caption2]	53.2	320.0	ok	+14.8
popover/Rate-limited [tag:caption2]	163.9	320.0	ok	+103.1
popover/Relaunch [button:small]	103.0	320.0	ok	+34.0
popover/Relaunch now [button:small]	144.0	320.0	ok	+51.0
popover/Relaunching… [tag:caption2]	69.9	320.0	ok	+0.6
popover/Reveal in Finder [button:small]	116.0	320.0	ok	+12.0
popover/Skipped (row status) [tag:caption2]	59.8	320.0	ok	+19.6
popover/Sparkle [tag:caption2]	37.4	320.0	ok	+0.0
popover/TestFlight [button:small]	72.0	320.0	ok	+0.0
popover/TestFlight [tag:caption2]	48.8	320.0	ok	+0.0
popover/Toolbox [button:small]	61.0	320.0	ok	+0.0
popover/Update [button:small]	73.0	320.0	ok	+14.0
popover/Updated [tag:caption2]	57.1	320.0	ok	+14.8
popover/Verifying [tag:caption2]	118.3	320.0	ok	+74.2
workbench/App Store [button:regular]	85.0	320.0	ok	+0.0
workbench/App Store [tag:callout]	56.4	320.0	ok	+0.0
workbench/Checking [tag:callout]	57.6	320.0	ok	+4.6
workbench/Extracting [tag:callout]	68.2	320.0	ok	+10.7
workbench/Failed [tag:callout]	46.8	320.0	ok	+13.5
workbench/Ignored (row status) [tag:callout]	82.7	320.0	ok	+39.5
workbench/Install [button:regular]	96.0	320.0	ok	+36.0
workbench/Installed [tag:callout]	75.6	320.0	ok	+27.8
workbench/Installing [tag:callout]	60.4	320.0	ok	+9.6
workbench/Major update [label:callout]	124.1	320.0	ok	+49.6
workbench/Not supported on this Mac [label:callout]	194.5	320.0	ok	+43.9
workbench/Open [button:regular]	79.0	320.0	ok	+22.0
workbench/Open page [button:regular]	141.0	320.0	ok	+50.0
workbench/Queued [tag:callout]	61.2	320.0	ok	+16.9
workbench/Rate-limited [tag:callout]	188.4	320.0	ok	+119.3
workbench/Region-locked [label:callout]	154.8	320.0	ok	+72.9
workbench/Relaunch [button:regular]	120.0	320.0	ok	+40.0
workbench/Relaunch now [button:regular]	168.0	320.0	ok	+59.0
workbench/Relaunching… [tag:callout]	79.9	320.0	ok	+1.0
workbench/Reveal in Finder [button:regular]	135.0	320.0	ok	+15.0
workbench/Skipped (row status) [tag:callout]	68.8	320.0	ok	+22.8
workbench/Sparkle [tag:callout]	42.6	320.0	ok	+0.0
workbench/TestFlight [button:regular]	84.0	320.0	ok	+0.0
workbench/TestFlight [tag:callout]	55.5	320.0	ok	+0.0
workbench/Toolbox [button:regular]	72.0	320.0	ok	+0.0
workbench/Update [button:regular]	86.0	320.0	ok	+17.0
workbench/Updated [tag:callout]	65.8	320.0	ok	+17.2
workbench/Verifying [tag:callout]	136.1	320.0	ok	+86.1
